race_id,fp1_weather,fp2_weather,fp3_weather,qualifying_weather,race_weather,track_environment,setup_demand,track_length,driver_perf,team_perf,fp1_long_run,fp2_long_run,fp3_long_run,race_pace,relative_qualifying,relative_finish
18-09,1,1,1,1,0,2,1,4.318,0.616,0.6930232558139535,68.67,68.2797,68.042,69.284577,0.15,0.15
18-09,1,1,1,1,0,2,1,4.318,0.0,0.0744186046511627,68.581142,68.470833,68.5259875,70.534942,0.3,0.2
18-09,1,1,1,1,0,2,1,4.318,0.0,0.0325581395348837,69.0175,69.4409,69.22919999999999,71.014471,1.0,0.5
18-09,1,1,1,1,0,2,1,4.318,0.08,0.055813953488372,69.537583,69.66,69.5987915,70.7135,0.55,0.3
18-09,1,1,1,1,0,2,1,4.318,0.136,0.0837209302325581,69.8032,69.6806,69.7419,70.7349,0.85,0.35
18-09,1,1,1,1,0,2,1,4.318,0.08,0.0,69.607714,69.607714,69.607714,70.945185,0.7,0.4
18-09,1,1,1,1,0,2,1,4.318,0.128,0.1767441860465116,68.385,69.044133,68.154,70.5575,0.4,0.25
18-10,1,0,0,0,0,2,1,5.891,0.0,0.0,92.0255,91.875,91.95025,101.690192,0.95,0.6
18-10,1,0,0,0,0,2,1,5.891,0.04,0.0372093023255813,92.502,91.085,90.19,95.9375,0.45,0.95
18-10,1,0,0,0,0,2,1,5.891,0.008,0.041860465116279,92.5878,91.715,92.1514,96.574193,0.75,0.9
18-10,1,0,0,0,0,2,1,5.891,0.12,0.0930232558139534,93.7058,91.646666,92.676233,100.469,0.8,0.85
18-10,1,0,0,0,0,2,1,5.891,0.096,0.2883720930232558,91.093,91.093,91.093,100.463783,0.4,0.8
18-10,1,0,0,0,0,2,1,5.891,0.6,0.5581395348837209,90.436,90.436,90.436,102.623456,0.25,0.75
18-10,1,0,0,0,0,2,1,5.891,0.0,0.0,94.034,92.773,93.4035,101.882634,0.9,0.7
18-10,1,0,0,0,0,2,1,5.891,0.048,0.0,92.131,91.5855,91.85825,101.613711,0.7,0.65
18-10,1,0,0,0,0,2,1,5.891,0.0,0.0,92.919666,93.844666,93.382166,174.472,1.0,1.0
18-10,1,0,0,0,0,2,1,5.891,0.0,0.055813953488372,92.736,91.622,92.179,101.645346,0.85,0.55
18-10,1,0,0,0,0,2,1,5.891,0.208,0.2790697674418604,91.85,92.433,92.1415,101.595615,0.35,0.45
18-10,1,0,0,0,0,2,1,5.891,0.064,0.0372093023255813,91.842,91.127,91.903,101.55575,0.65,0.4
18-10,1,0,0,0,0,2,1,5.891,0.144,0.1395348837209302,91.447,91.078,91.2625,101.532961,0.5,0.35
18-10,1,0,0,0,0,2,1,5.891,0.096,0.1023255813953488,92.572,92.169,92.3705,101.500076,0.55,0.3
18-10,1,0,0,0,0,2,1,5.891,0.472,0.6372093023255814,90.863666,90.365833,89.868,101.140076,0.3,0.25
18-10,1,0,0,0,0,2,1,5.891,0.416,0.427906976744186,89.957,89.6045,89.78075,100.167862,0.2,0.2
18-10,1,0,0,0,0,2,1,5.891,0.424,0.7255813953488373,90.295,90.5385,90.41675,101.027615,0.15,0.15
18-10,1,0,0,0,0,2,1,5.891,0.6,0.4186046511627907,89.757,89.757,89.757,101.000923,0.05,0.1
18-10,1,0,0,0,0,2,1,5.891,0.64,0.6930232558139535,90.631666,90.506,90.568833,97.849775,0.1,0.05
18-10,1,0,0,0,0,2,1,5.891,0.064,0.1627906976744186,91.671,91.133,90.661,101.624846,0.6,0.5
18-11,0,0,1,0,1,2,1,4.574,0.0,0.0744186046511627,78.065,77.031333,77.54816650000001,83.529283,1.0,0.65
18-11,0,0,1,0,1,2,1,4.574,0.048,0.0046511627906976,79.244166,76.665,77.95458300000001,84.67409,0.85,0.7
18-11,0,0,1,0,1,2,1,4.574,0.032,0.0372093023255813,77.588875,87.0179375,96.447,84.701242,0.45,0.75
18-11,0,0,1,0,1,2,1,4.574,0.064,0.0744186046511627,77.7515,77.7515,77.7515,84.813784,0.55,0.8
18-11,0,0,1,0,1,2,1,4.574,0.072,0.1209302325581395,76.399666,76.399666,76.399666,83.327074,0.4,0.6
18-11,0,0,1,0,1,2,1,4.574,0.744,0.7488372093023256,76.991333,76.991333,76.991333,79.092,0.05,0.9
18-11,0,0,1,0,1,2,1,4.574,0.0,0.0,78.73775,79.406,97.350333,82.339215,0.6,0.95
18-11,0,0,1,0,1,2,1,4.574,0.472,0.3813953488372093,75.168,78.15485,76.66142500000001,80.254037,0.75,1.0
18-11,0,0,1,0,1,2,1,4.574,0.0,0.0,79.414666,77.193333,100.661,84.084433,0.95,0.85
18-11,0,0,1,0,1,2,1,4.574,0.16,0.2604651162790697,78.045333,78.045333,78.045333,83.354686,0.25,0.55
18-11,0,0,1,0,1,2,1,4.574,0.0,0.0,78.056909,78.056909,78.056909,83.34391,0.9,0.5
18-11,0,0,1,0,1,2,1,4.574,0.008,0.0325581395348837,86.956833,76.697,97.216666,83.316522,0.65,0.45
18-11,0,0,1,0,1,2,1,4.574,0.192,0.241860465116279,76.773,76.773,76.773,83.307388,0.8,0.4
18-11,0,0,1,0,1,2,1,4.574,0.056,0.1953488372093023,78.870285,78.349,78.6096425,83.289567,0.5,0.35
